City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Longyearbyen,SJ,78.22,15.64,23.0,73,75,16.11,light snow
166,Leh,IN,34.17,77.58,24.1,81,100,2.39,overcast clouds
167,Kizhinga,RU,51.85,109.91,4.62,92,19,4.43,few clouds
168,Coro,VE,11.4,-69.67,83.86,69,100,12.93,overcast clouds
169,Lumajang,ID,-8.13,113.22,75.63,89,100,0.76,overcast clouds
170,Chokurdakh,RU,70.63,147.92,-6.3,92,93,10.38,overcast clouds
171,Madras,IN,13.09,80.28,80.6,88,75,3.36,mist
172,Broome,US,42.25,-75.83,39.99,55,1,8.05,clear sky
173,Leningradskiy,RU,69.38,178.42,8.89,92,100,18.95,overcast clouds
174,Norman Wells,CA,65.28,-126.83,-4.0,83,75,9.17,broken clouds
175,Carnarvon,AU,-24.87,113.63,69.8,83,0,19.46,clear sky
176,Thompson,CA,55.74,-97.86,-4.0,83,20,5.82,few clouds
177,Sechura,PE,-5.56,-80.82,73.81,63,95,9.57,overcast clouds
178,Atbasar,KZ,51.8,68.33,4.55,93,100,7.2,overcast clouds
179,Joshimath,IN,30.57,79.57,47.93,43,5,5.77,clear sky
180,Honningsvag,NO,70.98,25.97,39.63,74,57,20.02,broken clouds
181,Sola,VU,-13.88,167.55,78.17,89,86,7.23,light rain
182,Haines Junction,CA,60.75,-137.51,30.2,92,94,6.93,overcast clouds
183,Taylorville,US,39.55,-89.29,39.99,69,1,8.05,clear sky
184,Guerrero Negro,MX,27.98,-114.06,57.07,38,1,1.52,clear sky
185,Sistranda,NO,63.73,8.83,35.6,74,75,21.92,broken clouds
186,Aklavik,CA,68.22,-135.01,-5.8,83,100,3.36,overcast clouds
187,La Ronge,CA,55.1,-105.28,3.2,84,30,3.36,scattered clouds
188,Dunedin,NZ,-45.87,170.5,53.01,71,94,4.0,overcast clouds
189,Gao,ML,16.64,1.64,93.36,12,0,6.46,clear sky
190,Luba,GQ,3.46,8.55,81.0,76,56,5.17,broken clouds
191,Nikolskoye,RU,59.7,30.79,32.0,93,75,8.95,light snow
192,Chuy,UY,-33.7,-53.46,79.99,63,5,11.61,clear sky
193,Collecchio,IT,44.75,10.22,51.01,81,75,2.24,mist
194,Kogon,UZ,39.72,64.55,37.4,69,0,16.11,clear sky
195,Youkounkoun,GN,12.53,-13.13,101.73,12,11,1.66,few clouds
196,Solnechnyy,RU,50.72,136.63,8.87,93,99,0.69,overcast clouds
197,Ikom,NG,5.97,8.71,92.19,39,98,3.89,overcast clouds
198,Faanui,PF,-16.48,-151.75,80.78,78,53,9.22,broken clouds
199,Portland,US,45.52,-122.68,41.0,93,90,3.36,mist
200,Metsavan,AM,41.2,44.23,32.0,88,40,6.93,scattered clouds
201,Cherskiy,RU,68.75,161.3,-9.69,90,100,5.3,overcast clouds
202,Sawakin,SD,19.11,37.33,77.81,62,26,12.88,scattered clouds
203,Folldal,NO,62.13,10.0,19.29,84,0,3.67,clear sky
204,La Baneza,ES,42.3,-5.9,57.99,66,20,5.82,few clouds
205,Oum Hadjer,TD,13.3,19.7,94.87,12,0,5.61,clear sky
206,Sterling,US,39.01,-77.43,48.99,59,1,3.36,clear sky
207,Castro,BR,-24.79,-50.01,78.28,68,100,8.3,moderate rain
208,Hit,IQ,33.64,42.83,63.99,47,0,5.99,clear sky
209,Kavaratti,IN,10.57,72.64,82.8,69,12,4.72,few clouds
210,Polunochnoye,RU,60.87,60.42,11.5,94,0,2.15,clear sky
211,Jeremoabo,BR,-10.07,-38.48,89.06,32,45,11.68,scattered clouds
212,Brighton,GB,50.83,-0.14,48.2,87,75,6.93,broken clouds
213,Beaumont,US,30.09,-94.1,57.2,100,90,9.17,light intensity drizzle
214,Mar Del Plata,AR,-38.0,-57.56,82.4,42,0,16.11,clear sky
215,San Antonio,US,29.42,-98.49,44.6,100,1,3.36,clear sky
216,Miraflores,MX,19.22,-98.81,62.01,50,5,5.82,clear sky
217,Rawson,AR,-43.3,-65.1,63.21,28,0,19.91,clear sky
218,Mint Hill,US,35.18,-80.65,50.0,87,1,3.36,clear sky
219,Anshun,CN,26.25,105.93,43.66,79,97,9.08,overcast clouds
220,Zhengjiatun,CN,43.51,123.51,8.74,91,0,6.98,clear sky
221,Vila Franca Do Campo,PT,37.72,-25.43,57.2,87,40,25.28,light intensity shower rain
222,Lubango,AO,-14.92,13.49,75.2,87,75,9.17,moderate rain
223,Baiyin,CN,36.56,104.21,35.01,49,0,2.24,clear sky
224,Kamenka,RU,51.32,42.77,34.0,88,91,17.25,overcast clouds
225,Usogorsk,RU,63.41,48.69,14.32,95,0,6.64,clear sky
226,Kon Tum,VN,14.35,108.0,67.3,91,100,4.34,overcast clouds
227,Boa Vista,BR,2.82,-60.67,82.4,69,75,6.93,broken clouds
228,Mehamn,NO,71.04,27.85,35.6,84,50,16.17,scattered clouds
229,Los Zacatones,MX,22.95,-102.05,44.6,75,5,3.44,clear sky
230,Bengkulu,ID,-3.8,102.27,75.79,86,83,5.23,broken clouds
231,Ixtapa,MX,20.7,-105.2,73.0,88,5,1.77,clear sky
232,Kosh-Agach,RU,50.0,88.67,1.63,88,100,1.3,overcast clouds
233,Moose Factory,CA,51.26,-80.61,23.0,85,90,2.24,overcast clouds
234,El Alto,PE,-4.27,-81.21,75.2,64,0,18.34,clear sky
235,Kenai,US,60.55,-151.26,28.99,86,90,6.93,light snow
236,Male,MV,4.17,73.51,82.98,66,5,7.94,clear sky
237,Barzas,RU,55.72,86.32,5.0,84,0,4.47,clear sky
238,Arica,CL,-18.48,-70.3,69.8,68,75,10.29,broken clouds
239,Lannion,FR,48.75,-3.42,55.4,82,0,8.05,clear sky
240,Canberra,AU,-35.28,149.13,59.0,77,75,10.29,broken clouds
241,Mao,ES,39.89,4.27,59.0,87,20,9.17,few clouds
242,Magalia,US,39.81,-121.58,43.0,74,1,6.62,clear sky
243,Pisco,PE,-13.7,-76.22,69.8,77,0,10.29,clear sky
244,Dagda,LV,56.1,27.54,29.44,98,98,8.39,overcast clouds
245,Salinas,US,36.68,-121.66,39.2,59,1,5.82,clear sky
246,Kongolo,CD,-5.38,27.0,71.83,95,100,4.41,moderate rain
247,Sitka,US,57.05,-135.33,42.8,75,75,8.05,broken clouds
248,Meadow Lake,US,34.8,-106.54,30.0,79,1,8.05,clear sky
249,Kargasok,RU,59.06,80.86,2.01,93,4,4.43,clear sky
250,Benicarlo,ES,40.42,0.43,59.0,72,5,3.0,clear sky
251,Kawalu,ID,-7.38,108.21,71.6,92,100,0.81,moderate rain
252,Poya,NC,-21.35,165.15,71.91,73,0,5.48,clear sky
